WELL,DEPTH,GR,RHOB,NPHI,PEF,DT,DTS,RT
15/9-F-11 A,2592.5,33.625,2.193,0.265,5.143,97.434,248.307,0.437
15/9-F-11 A,2592.6,34.971,2.184,0.274,5.17,100.118,250.055,0.441
15/9-F-11 A,2592.7,36.186,2.177,0.291,5.257,102.795,250.269,0.422
15/9-F-11 A,2592.8,37.457,2.174,0.318,5.424,104.933,252.17,0.419
15/9-F-11 A,2592.9,40.557,2.178,0.354,5.737,106.685,254.752,0.428
15/9-F-11 A,2593.0,46.431,2.193,0.387,6.232,107.75,256.243,0.495
15/9-F-11 A,2593.1,54.663,2.215,0.411,6.867,108.503,257.522,0.566
15/9-F-11 A,2593.2,64.582,2.235,0.413,7.528,108.977,258.722,0.605
15/9-F-11 A,2593.3,70.507,2.241,0.389,8.038,108.622,260.447,0.677
15/9-F-11 A,2593.4,66.063,2.227,0.348,8.169,108.449,261.271,0.639
15/9-F-11 A,2593.5,60.506,2.201,0.321,7.763,108.401,261.368,0.579
15/9-F-11 A,2593.6,53.814,2.186,0.307,6.994,108.09,260.593,0.516
15/9-F-11 A,2593.7,49.455,2.192,0.31,6.277,108.601,260.183,0.529
15/9-F-11 A,2593.8,49.271,2.21,0.327,5.834,109.874,260.111,0.524
15/9-F-11 A,2593.9,53.365,2.231,0.348,5.723,111.153,261.033,0.602
15/9-F-11 A,2594.0,57.1,2.241,0.361,5.812,111.928,261.82,0.67
15/9-F-11 A,2594.1,60.842,2.251,0.374,5.902,112.703,262.608,0.693
15/9-F-11 A,2594.2,68.804,2.274,0.398,6.281,114.548,264.909,0.742
15/9-F-11 A,2594.3,76.88,2.299,0.426,6.722,115.486,268.505,0.759
15/9-F-11 A,2594.4,83.885,2.322,0.445,7.079,116.454,272.468,0.75
15/9-F-11 A,2594.5,84.167,2.335,0.453,7.263,117.528,276.834,0.759
15/9-F-11 A,2594.6,85.249,2.338,0.439,7.294,119.132,283.587,0.783
15/9-F-11 A,2594.7,83.27,2.336,0.403,7.217,120.351,289.184,0.839
15/9-F-11 A,2594.8,79.72,2.334,0.362,7.046,120.839,292.409,0.885
15/9-F-11 A,2594.9,76.286,2.333,0.328,6.755,120.749,294.214,0.909
15/9-F-11 A,2595.0,71.113,2.332,0.309,6.386,120.1,294.241,0.998
15/9-F-11 A,2595.1,64.389,2.332,0.303,6.077,118.514,291.12,1.076
15/9-F-11 A,2595.2,59.999,2.332,0.313,5.987,117.224,282.541,1.269
15/9-F-11 A,2595.3,57.16,2.333,0.327,6.173,115.914,275.151,1.545
15/9-F-11 A,2595.4,58.534,2.333,0.357,6.535,114.37,274.28,1.642
15/9-F-11 A,2595.5,63.215,2.334,0.383,6.918,112.885,272.822,1.355
15/9-F-11 A,2595.6,70.414,2.342,0.409,7.23,111.756,272.965,1.079
15/9-F-11 A,2595.7,79.079,2.359,0.436,7.48,111.734,279.06,0.872
15/9-F-11 A,2595.8,82.068,2.38,0.454,7.721,112.724,282.554,0.787
15/9-F-11 A,2595.9,81.838,2.401,0.472,7.963,113.949,285.07,0.814
15/9-F-11 A,2596.0,80.914,2.415,0.481,8.168,114.381,288.022,0.838
15/9-F-11 A,2596.1,80.006,2.424,0.479,8.29,114.284,287.661,0.878
15/9-F-11 A,2596.2,79.814,2.426,0.471,8.32,113.824,285.468,0.885
15/9-F-11 A,2596.3,79.864,2.426,0.467,8.299,113.307,283.989,0.886
15/9-F-11 A,2596.4,79.916,2.426,0.464,8.277,112.789,282.511,0.887
15/9-F-11 A,2596.5,80.459,2.423,0.461,8.18,112.495,281.483,0.897
15/9-F-11 A,2596.6,80.338,2.418,0.454,8.031,112.728,281.794,0.869
15/9-F-11 A,2596.7,79.996,2.407,0.449,7.835,113.574,283.268,0.845
15/9-F-11 A,2596.8,80.917,2.392,0.446,7.616,114.475,285.699,0.801
15/9-F-11 A,2596.9,83.253,2.375,0.448,7.424,115.415,288.767,0.738
15/9-F-11 A,2597.0,82.836,2.362,0.459,7.289,116.231,289.299,0.728
15/9-F-11 A,2597.1,85.743,2.355,0.474,7.222,116.775,289.459,0.742
15/9-F-11 A,2597.2,86.98,2.354,0.484,7.229,117.067,289.266,0.762
15/9-F-11 A,2597.3,88.423,2.355,0.495,7.28,117.363,289.072,0.744
15/9-F-11 A,2597.4,89.987,2.356,0.495,7.332,117.269,291.093,0.737
15/9-F-11 A,2597.5,90.539,2.356,0.484,7.343,116.73,295.639,0.74
15/9-F-11 A,2597.6,87.52,2.353,0.471,7.305,114.7,297.582,0.741
15/9-F-11 A,2597.7,87.186,2.349,0.451,7.253,112.021,299.59,0.74
15/9-F-11 A,2597.8,88.533,2.347,0.431,7.208,108.568,301.902,0.74
15/9-F-11 A,2597.9,87.957,2.35,0.411,7.168,105.412,302.356,0.77
15/9-F-11 A,2598.0,88.184,2.357,0.393,7.115,102.78,301.858,0.811
15/9-F-11 A,2598.1,85.468,2.367,0.375,7.044,100.972,300.118,0.946
15/9-F-11 A,2598.2,83.154,2.379,0.36,6.989,99.408,296.795,1.133
15/9-F-11 A,2598.3,80.262,2.389,0.367,6.982,98.35,293.026,1.17
15/9-F-11 A,2598.4,77.333,2.396,0.374,7.042,98.251,288.92,1.185
15/9-F-11 A,2598.5,75.848,2.401,0.386,7.153,98.343,283.381,1.216
15/9-F-11 A,2598.6,81.168,2.405,0.389,7.278,98.612,277.328,1.298
15/9-F-11 A,2598.7,84.73,2.406,0.382,7.363,99.22,270.872,1.267
15/9-F-11 A,2598.8,86.275,2.397,0.372,7.265,99.68,267.516,1.289
15/9-F-11 A,2598.9,87.813,2.389,0.363,7.166,100.124,265.153,1.267
15/9-F-11 A,2599.0,85.819,2.376,0.363,6.913,100.684,262.672,1.211
15/9-F-11 A,2599.1,84.024,2.369,0.364,6.732,101.141,261.58,1.172
15/9-F-11 A,2599.2,81.153,2.369,0.372,6.742,101.548,260.939,1.162
15/9-F-11 A,2599.3,78.515,2.372,0.381,6.919,101.917,259.684,1.208
15/9-F-11 A,2599.4,77.612,2.374,0.39,7.13,102.162,258.527,1.276
15/9-F-11 A,2599.5,78.257,2.375,0.391,7.275,102.39,257.645,1.424
15/9-F-11 A,2599.6,80.689,2.377,0.397,7.367,102.938,258.231,1.377
15/9-F-11 A,2599.7,83.214,2.378,0.403,7.45,103.426,259.656,1.308
15/9-F-11 A,2599.8,85.282,2.377,0.403,7.502,103.904,261.449,1.342
15/9-F-11 A,2599.9,85.269,2.369,0.393,7.418,104.69,261.318,1.344
15/9-F-11 A,2600.0,82.748,2.356,0.371,7.126,104.605,261.584,1.323
15/9-F-11 A,2600.1,79.399,2.338,0.341,6.654,103.827,262.161,1.196
15/9-F-11 A,2600.2,74.248,2.315,0.308,6.105,102.74,262.73,1.171
15/9-F-11 A,2600.3,68.542,2.291,0.283,5.613,100.943,263.018,1.142
15/9-F-11 A,2600.4,60.314,2.269,0.272,5.281,98.473,263.037,1.107
15/9-F-11 A,2600.5,51.895,2.253,0.266,5.151,97.171,262.396,1.214
15/9-F-11 A,2600.6,45.764,2.244,0.273,5.205,95.441,261.65,1.317
15/9-F-11 A,2600.7,40.914,2.243,0.282,5.38,93.204,260.792,1.299
15/9-F-11 A,2600.8,40.059,2.249,0.29,5.602,92.143,258.749,1.186
15/9-F-11 A,2600.9,41.143,2.258,0.303,5.829,92.043,256.926,1.077
15/9-F-11 A,2601.0,42.513,2.268,0.322,6.066,93.184,255.52,0.99
15/9-F-11 A,2601.1,45.945,2.279,0.344,6.345,95.901,253.611,0.935
15/9-F-11 A,2601.2,50.095,2.29,0.36,6.66,98.137,252.58,0.844
15/9-F-11 A,2601.3,55.343,2.304,0.381,6.934,99.229,253.168,0.921
15/9-F-11 A,2601.4,60.451,2.316,0.399,7.081,100.373,253.446,1.015
15/9-F-11 A,2601.5,65.587,2.325,0.419,7.066,101.197,254.209,1.077
15/9-F-11 A,2601.6,71.338,2.328,0.427,6.915,101.324,256.128,1.08
15/9-F-11 A,2601.7,71.621,2.328,0.424,6.704,101.454,258.684,1.092
15/9-F-11 A,2601.8,72.673,2.326,0.41,6.503,101.539,260.687,1.062
15/9-F-11 A,2601.9,71.562,2.321,0.388,6.365,101.504,260.764,1.077
15/9-F-11 A,2602.0,65.709,2.314,0.363,6.295,101.369,261.292,1.104
15/9-F-11 A,2602.1,58.633,2.306,0.348,6.256,101.12,261.348,1.096
15/9-F-11 A,2602.2,54.392,2.299,0.338,6.181,100.597,259.229,1.105
15/9-F-11 A,2602.3,54.614,2.292,0.33,6.028,100.069,257.623,1.1
15/9-F-11 A,2602.4,52.713,2.28,0.317,5.804,99.584,256.305,1.089
15/9-F-11 A,2602.5,49.94,2.262,0.3,5.562,99.313,255.299,1.07
15/9-F-11 A,2602.6,44.819,2.24,0.286,5.355,99.886,253.909,1.118
15/9-F-11 A,2602.7,40.6,2.219,0.282,5.219,100.986,252.476,1.087
15/9-F-11 A,2602.8,37.156,2.203,0.292,5.195,102.613,252.155,0.962
15/9-F-11 A,2602.9,34.995,2.19,0.319,5.31,104.509,252.021,0.83
15/9-F-11 A,2603.0,33.09,2.177,0.353,5.547,106.588,251.825,0.716
